,Height,Weight,Medal_Counts
983,193.0,99.0,8
984,193.0,,8
985,194.0,84.0,8
986,194.0,88.0,8
987,195.0,82.0,8
988,195.0,97.0,8
989,195.0,87.0,8
990,196.0,101.0,8
991,198.0,85.0,8
992,198.0,98.0,8
993,199.0,99.0,8
994,201.0,102.0,8
995,203.0,102.0,8
996,,100.0,7
997,,71.0,7
998,,76.0,7
999,,56.0,7
1000,,78.0,7
1001,147.0,39.0,7
1002,150.0,53.0,7
1003,152.0,49.0,7
1004,152.0,39.0,7
1005,152.0,48.0,7
1006,153.0,40.0,7
1007,156.0,58.0,7
1008,156.0,50.0,7
1009,157.0,51.0,7
1010,158.0,58.0,7
1011,158.0,46.0,7
1012,159.0,62.0,7
1013,159.0,53.0,7
1014,159.0,60.0,7
1015,160.0,61.0,7
1016,160.0,,7
1017,163.0,47.0,7
1018,163.0,53.0,7
1019,166.0,47.0,7
1020,166.0,51.0,7
1021,166.0,68.0,7
1022,169.0,77.0,7
1023,169.0,74.0,7
1024,169.0,71.0,7
1025,170.0,53.0,7
1026,172.0,77.0,7
1027,172.0,85.0,7
1028,173.0,56.0,7
1029,173.0,83.0,7
1030,174.0,52.0,7
1031,176.0,68.5,7
1032,176.0,83.0,7
1033,177.0,85.0,7
1034,179.0,66.0,7
1035,179.0,86.0,7
1036,179.0,81.0,7
1037,180.0,96.0,7
1038,181.0,65.0,7
1039,181.0,87.0,7
1040,182.0,63.0,7
1041,182.0,66.0,7
1042,183.0,110.0,7
1043,183.0,98.0,7
1044,185.0,66.0,7
1045,185.0,98.0,7
1046,185.0,94.0,7
1047,186.0,93.0,7
1048,188.0,96.0,7
1049,188.0,71.0,7
1050,190.0,73.0,7
1051,190.0,98.0,7
1052,191.0,79.0,7
1053,191.0,78.0,7
1054,191.0,72.0,7
1055,192.0,102.0,7
1056,192.0,120.0,7
1057,193.0,81.0,7
1058,193.0,103.0,7
1059,195.0,115.0,7
1060,195.0,99.0,7
1061,195.0,105.0,7
1062,195.0,83.0,7
1063,196.0,82.0,7
1064,196.0,86.0,7
1065,199.0,93.0,7
1066,200.0,96.0,7
1067,201.0,86.0,7
1068,202.0,88.0,7
1069,203.0,93.0,7
1070,,70.0,6
1071,,81.0,6
1072,,69.0,6
1073,145.0,40.0,6
1074,145.0,38.0,6
1075,152.0,41.0,6
1076,152.0,,6
1077,153.0,43.0,6
1078,154.0,50.0,6
1079,155.0,55.0,6
1080,155.0,58.0,6
1081,155.0,45.0,6
1082,157.0,55.5,6
1083,157.0,49.0,6
1084,157.0,,6
1085,158.0,60.0,6
1086,159.0,56.0,6
1087,160.0,69.0,6
1088,160.0,46.0,6
1089,161.0,51.0,6
1090,162.0,65.0,6
1091,162.0,70.0,6
1092,163.0,82.0,6
1093,165.0,67.0,6
1094,165.0,72.0,6
1095,166.0,70.0,6
1096,167.0,74.0,6
1097,168.0,74.0,6
1098,168.0,76.0,6
1099,169.0,75.0,6
1100,169.0,78.0,6
1101,169.0,53.0,6
1102,170.0,51.0,6
1103,170.0,85.0,6
1104,171.0,80.0,6
1105,172.0,81.0,6
1106,172.0,80.0,6
1107,173.0,53.0,6
1108,175.0,93.0,6
1109,176.0,57.0,6
1110,176.0,81.0,6
1111,178.0,92.0,6
1112,178.0,90.0,6
1113,178.0,87.0,6
1114,178.0,91.0,6
1115,179.0,89.0,6
1116,179.0,63.0,6
1117,180.0,79.5,6
1118,180.0,61.0,6
1119,181.0,93.0,6
1120,181.0,105.0,6
1121,183.0,63.0,6
1122,184.0,68.0,6
1123,185.0,67.0,6
1124,186.0,105.0,6
1125,187.0,89.0,6
1126,187.0,97.0,6
1127,187.0,96.0,6
1128,188.0,102.0,6
1129,189.0,102.0,6
1130,189.0,98.0,6
1131,190.0,105.0,6
1132,190.0,111.0,6
1133,191.0,105.0,6
1134,191.0,73.0,6
1135,193.0,71.0,6
1136,194.0,91.0,6
1137,195.0,92.0,6
1138,195.0,75.0,6
1139,195.0,88.0,6
1140,196.0,125.0,6
1141,196.0,80.0,6
1142,197.0,97.0,6
1143,197.0,87.0,6
1144,197.0,86.0,6
1145,198.0,104.0,6
1146,198.0,125.0,6
1147,199.0,98.0,6
1148,199.0,95.0,6
1149,199.0,100.0,6
1150,200.0,82.0,6
1151,201.0,88.0,6
1152,202.0,105.0,6
1153,202.0,110.0,6
1154,203.0,96.0,6
1155,203.0,100.0,6
1156,204.0,100.0,6
1157,204.0,95.0,6
